TALUKA_NAME,target_crop,soil_moisture
Gaganbavda,RICE,0.787173054
Radhanagari,RICE,0.89957157
Kagal,RICE,0.977727923
Bhudargad,RICE,0.709277858
Ajra,RICE,0.908702053
Gadhinglaj,RICE,0.996377266
Chandgad,RICE,0.891548126
Parseoni,RICE,0.850701386
Ramtek,RICE,0.874298876
Mauda,RICE,0.746099913
Nagpur (Urban),RICE,0.804895567
Nawapur,RICE,0.899594614
Peth,RICE,0.922697691
Trumbak,RICE,0.943221637
Igatputi,RICE,0.790861902
Junnar,RICE,0.966630511
Ambegaon,RICE,0.939848736
Shirur,RICE,0.82247441
Khed,RICE,0.943702114
Mawal,RICE,0.740864331
Mulshi,RICE,0.922772506
Haveli,RICE,0.960193146
Pune City,RICE,0.825507609
Daund,RICE,0.874031895
Purandhar,RICE,0.974489518
Velhe,RICE,0.937650149
Bhor,RICE,0.732991178
Baramati,RICE,0.992566733
Indapur,RICE,0.709277097
Uran,RICE,0.825355532
Panvel,RICE,0.791213873
Karjat,RICE,0.73248705
Khalapur,RICE,0.841427111
Pen,RICE,0.854258434
Alibag,RICE,0.714223155
Murud,RICE,0.803527426
Roha,RICE,0.946533903
Sudhagad,RICE,0.922814502
Mangaon,RICE,0.941686811
Tala,RICE,0.949337533
Shrivardhan,RICE,0.785768003
Mhasla,RICE,0.747705821
Mahad,RICE,0.745113684
Poladpur,RICE,0.769381196
Mandangad,RICE,0.917849958
Dapoli,RICE,0.867466063
Khed,RICE,0.974567109
Chiplun,RICE,0.768749257
Guhagar,RICE,0.789724257
Ratnagiri,RICE,0.751926645
Sangameshwar,RICE,0.97473674
Lanja,RICE,0.848174077
Rajapur,RICE,0.856416322
Shirala,RICE,0.948318098
Walwa,RICE,0.851055966
Palus,RICE,0.738404257
Kadegaon,RICE,0.948305572
Khanapur,RICE,0.965287452
Atpadi,RICE,0.851074519
Tasgaon,RICE,0.737100881
Miraj,RICE,0.875300198
Kavathemahankal,RICE,0.845600919
Jat,RICE,0.923940165
Mahabaleshwar,RICE,0.916591556
Wai,RICE,0.930921254
Khandala,RICE,0.975047142
Phaltan,RICE,0.855822415
Man,RICE,0.804660783
Khatav,RICE,0.754150587
Koregaon,RICE,0.948863849
Satara,RICE,0.896363629
Javli,RICE,0.990051333
Patan,RICE,0.978820304
Karad,RICE,0.839487693
Devgad,RICE,0.934161021
Vaibhavvadi,RICE,0.808093984
Kankavli,RICE,0.922979048
Malwan,RICE,0.835767202
Vengurla,RICE,0.855460431
Kudal,RICE,0.911723854
Sawantwadi,RICE,0.702026
Dodamarg,RICE,0.749644593
Telhara,SOYABEAN,0.761615267
Telhara,SOYABEAN,0.786652265
Telhara,SOYABEAN,0.919939475
Telhara,SOYABEAN,0.808827201
Telhara,SOYABEAN,0.900678448
Telhara,SOYABEAN,0.794937421
Telhara,SOYABEAN,0.936710138
Telhara,SOYABEAN,0.932452508
Telhara,SOYABEAN,0.80501378
Telhara,SOYABEAN,0.772234347
Telhara,SOYABEAN,0.900944872
Telhara,SOYABEAN,0.981963387
Telhara,SOYABEAN,0.771899464
Telhara,SOYABEAN,0.847499229
Telhara,SOYABEAN,0.70222189
Telhara,SOYABEAN,0.748140219
Akot,SOYABEAN,0.923247844
Akot,SOYABEAN,0.822812016
Balapur,SOYABEAN,0.87055407
Balapur,SOYABEAN,0.919802905
Akola,SOYABEAN,0.806018903
Akola,SOYABEAN,0.837725597
Akola,SOYABEAN,0.854065005
Akola,SOYABEAN,0.850630696
Murtijapur,SOYABEAN,0.942724657
Jalgaon (Jamod),SOYABEAN,0.727273086
Sangrampur,SOYABEAN,0.800340604
Shegaon,SOYABEAN,0.904108003
Khamgaon,SOYABEAN,0.731706423
Mehkar,SOYABEAN,0.921010148
Chikhli,SOYABEAN,0.758681977
Chikhli,SOYABEAN,0.71417687
Buldana,SOYABEAN,0.967303228
Sindkhed Raja,SOYABEAN,0.750067066
Lonar,SOYABEAN,0.998076081
Sakri,SOYABEAN,0.967484146
Bodvad,SOYABEAN,0.931350852
Bhusawal,SOYABEAN,0.941126774
Mantha,SOYABEAN,0.713353384
Latur,SOYABEAN,0.779144433
Renapur,SOYABEAN,0.735233693
Ahmadpur,SOYABEAN,0.902692361
Jalkot,SOYABEAN,0.75069526
Chakur,SOYABEAN,0.911209023
Shirur-Anantpal,SOYABEAN,0.723356784
Ausa,SOYABEAN,0.873484329
Nilanga,SOYABEAN,0.964262272
Udgir,SOYABEAN,0.905939811
Narkhed,SOYABEAN,0.909811789
Katol,SOYABEAN,0.800315698
Kalameshwar,SOYABEAN,0.963222163
Kamptee,SOYABEAN,0.902274717
Nagpur (Rural),SOYABEAN,0.898173411
Umred,SOYABEAN,0.813387728
Bhiwapur,SOYABEAN,0.970891698
Mahoor,SOYABEAN,0.947779518
Kinwat,SOYABEAN,0.906732922
Umri,SOYABEAN,0.951098879
Dharmabad,SOYABEAN,0.71951182
Biloli,SOYABEAN,0.927918192
Naigaon (Khairgaon),SOYABEAN,0.849890635
Mukhed,SOYABEAN,0.77300486
Deglur,SOYABEAN,0.761772385
Ashti,SOYABEAN,0.906468897
Karanja,SOYABEAN,0.873634494
Arvi,SOYABEAN,0.76206496
Seloo,SOYABEAN,0.991716006
Wardha,SOYABEAN,0.824953883
Deoli,SOYABEAN,0.733901629
Hinganghat,SOYABEAN,0.941977458
Samudrapur,SOYABEAN,0.925565941
Malegaon,SOYABEAN,0.950743941
Malegaon,SOYABEAN,0.957503081
Malegaon,SOYABEAN,0.942671237
Mangrulpir,SOYABEAN,0.840538907
Karanja,SOYABEAN,0.782586781
Manora,SOYABEAN,0.713859845
Washim,SOYABEAN,0.945527214
Risod,SOYABEAN,0.980691418
Ner,SOYABEAN,0.977702349
Babulgaon,SOYABEAN,0.991180586
Kalamb,SOYABEAN,0.918365419
Yavatmal,SOYABEAN,0.811007712
Darwha,SOYABEAN,0.711681068
Digras,SOYABEAN,0.982826534
Arni,SOYABEAN,0.877901432
Ghatanji,SOYABEAN,0.881590603
Kelapur,SOYABEAN,0.703002481
Ralegaon,SOYABEAN,0.734954931
Maregaon,SOYABEAN,0.716536322
Zari-Jamani,SOYABEAN,0.778821683
Wani,SOYABEAN,0.712177416
Balapur,SOYABEAN,0.904553855
Akola,SOYABEAN,0.803851661
Murtijapur,SOYABEAN,0.932314747
Barshitakli,SOYABEAN,0.863570552
Kaij,SOYABEAN,0.940618517
Parli,SOYABEAN,0.989780666
Ambejogai,SOYABEAN,0.945416501
Mehkar,SOYABEAN,0.877781676
Chikhli,SOYABEAN,0.723469809
Buldana,SOYABEAN,0.721539977
Sindkhed Raja,SOYABEAN,0.837078457
Lonar,SOYABEAN,0.759832834
Narkhed,SOYABEAN,0.915378333
Katol,SOYABEAN,0.757062486
Kalameshwar,SOYABEAN,0.923148358
Savner,SOYABEAN,0.841173052
Kamptee,SOYABEAN,0.830285056
Nagpur (Rural),SOYABEAN,0.722024254
Hingna,SOYABEAN,0.709451197
Umred,SOYABEAN,0.734162544
Kuhi,SOYABEAN,0.986797754
Bhiwapur,SOYABEAN,0.727562089
Bhokar,SOYABEAN,0.947760498
Naigaon (Khairgaon),SOYABEAN,0.735112489
Loha,SOYABEAN,0.75663944
Kandhar,SOYABEAN,0.749946111
Niphad,SOYABEAN,0.901310844
Bhoom,SOYABEAN,0.885057836
Washi,SOYABEAN,0.970481654
Kalamb,SOYABEAN,0.905023074
Osmanabad,SOYABEAN,0.88573604
Tuljapur,SOYABEAN,0.98094421
Lohara,SOYABEAN,0.952554454
Umerga,SOYABEAN,0.722954109
Akola,SUGARCANE,0.828441478
Akola,SUGARCANE,0.767345775
Akola,SUGARCANE,0.914651201
Akola,SUGARCANE,0.776176918
Akola,SUGARCANE,0.788132476
Akola,SUGARCANE,0.726809364
Akola,SUGARCANE,0.955396709
Akola,SUGARCANE,0.850530944
Akola,SUGARCANE,0.745565016
Akola,SUGARCANE,0.740904414
Akola,SUGARCANE,0.785173425
Akola,SUGARCANE,0.9610888
Akola,SUGARCANE,0.742853637
Akola,SUGARCANE,0.76613248
Akola,SUGARCANE,0.853816465
Akola,SUGARCANE,0.963668842
Akola,SUGARCANE,0.719173179
Akola,SUGARCANE,0.7698908
Akola,SUGARCANE,0.711877999
Akola,SUGARCANE,0.771863625
Akola,SUGARCANE,0.710075956
Akola,SUGARCANE,0.85687742
Akola,SUGARCANE,0.868732617
Akola,SUGARCANE,0.917081117
Akola,SUGARCANE,0.886191921
Akola,SUGARCANE,0.987540254
Akola,SUGARCANE,0.870266718
Akola,SUGARCANE,0.97024515
Akola,SUGARCANE,0.725786586
Akola,SUGARCANE,0.830555585
Akola,SUGARCANE,0.813750204
Akola,SUGARCANE,0.955772825
Akola,SUGARCANE,0.978466278
Akola,SUGARCANE,0.889602037
Akola,SUGARCANE,0.877153827
Akola,SUGARCANE,0.751748324
Akola,SUGARCANE,0.90716667
Akola,SUGARCANE,0.736948164
Akola,SUGARCANE,0.962316367
Akola,SUGARCANE,0.792078617
Akola,SUGARCANE,0.866691219
Akola,SUGARCANE,0.801471662
Akola,SUGARCANE,0.948641667
Akola,SUGARCANE,0.744728677
Akola,SUGARCANE,0.705372977
Akola,SUGARCANE,0.723750849
Akola,SUGARCANE,0.791881287
Akola,SUGARCANE,0.977436885
Akola,SUGARCANE,0.723433099
Akola,SUGARCANE,0.756217874
Akola,SUGARCANE,0.721895347
Akola,SUGARCANE,0.904538455
Akola,SUGARCANE,0.985992913
Akola,SUGARCANE,0.906264255
Akola,SUGARCANE,0.864057231
Akola,SUGARCANE,0.955456037
Akola,SUGARCANE,0.938746419
Akola,SUGARCANE,0.781134846
Akola,SUGARCANE,0.756155175
Akola,SUGARCANE,0.88231841
Akola,SUGARCANE,0.756086026
Akola,SUGARCANE,0.761183329
Akola,SUGARCANE,0.773717521
Akola,SUGARCANE,0.781143989
Akola,SUGARCANE,0.965912524
Akola,SUGARCANE,0.734339228
Akola,SUGARCANE,0.977419446
Akola,SUGARCANE,0.770141813
Akola,SUGARCANE,0.964279853
Akola,SUGARCANE,0.711432586
Akola,SUGARCANE,0.866061204
Akola,SUGARCANE,0.71040394
Akola,SUGARCANE,0.700682635
Akola,SUGARCANE,0.84520023
Akola,SUGARCANE,0.981730915
Akola,SUGARCANE,0.985661042
Akola,SUGARCANE,0.767680545
Akola,SUGARCANE,0.99059703
Akola,SUGARCANE,0.733410783
Akola,SUGARCANE,0.894040727
Akola,SUGARCANE,0.975531623
Akola,SUGARCANE,0.715672604
Akola,SUGARCANE,0.834393292
Akola,SUGARCANE,0.748365019
Akola,SUGARCANE,0.754570327
Akola,SUGARCANE,0.886078507
Akola,SUGARCANE,0.843763262
Akola,SUGARCANE,0.946609104
Akola,SUGARCANE,0.917974234
Akola,SUGARCANE,0.754129987
Akola,SUGARCANE,0.971225702
Akola,SUGARCANE,0.720044926
Akola,SUGARCANE,0.726451078
Akola,SUGARCANE,0.795274117
Akola,SUGARCANE,0.749694398
Akola,SUGARCANE,0.9452594
Akola,SUGARCANE,0.868976527
Akola,SUGARCANE,0.819307247
Akola,SUGARCANE,0.803879618
Akola,SUGARCANE,0.875611782
Akola,SUGARCANE,0.849623029
Akola,SUGARCANE,0.937735084
Akola,SUGARCANE,0.922725064
Akola,SUGARCANE,0.843606674
Akola,SUGARCANE,0.763213173
Akola,SUGARCANE,0.879802307
Akola,SUGARCANE,0.908341409
Akola,SUGARCANE,0.965407043
Akola,SUGARCANE,0.727198577
Akola,SUGARCANE,0.739403654
Akola,SUGARCANE,0.855483454
Akola,SUGARCANE,0.752499853
Akola,SUGARCANE,0.705343543
Akola,SUGARCANE,0.993244392
Akola,SUGARCANE,0.96496046
Akola,SUGARCANE,0.88697924
Akola,SUGARCANE,0.967077335
Akola,SUGARCANE,0.739305822
Akola,SUGARCANE,0.774529053
Akola,SUGARCANE,0.817894341
Akola,SUGARCANE,0.842813283
Akola,SUGARCANE,0.967157908
Akola,SUGARCANE,0.948638172
Akola,SUGARCANE,0.754641161
Akola,SUGARCANE,0.757414847
Akola,SUGARCANE,0.93908455
Akola,SUGARCANE,0.979565775
Akola,SUGARCANE,0.839918339
Akola,SUGARCANE,0.762595155
Akola,SUGARCANE,0.816646658
Akola,SUGARCANE,0.719677312
Akola,SUGARCANE,0.860986583
Akola,SUGARCANE,0.999054378
Akola,SUGARCANE,0.998459446
Akola,SUGARCANE,0.900819478
Akola,SUGARCANE,0.877569014
Akola,SUGARCANE,0.977789501
Akola,SUGARCANE,0.933532495
Akola,SUGARCANE,0.984460736
Akola,SUGARCANE,0.716739039
Akola,SUGARCANE,0.728799798
Akola,SUGARCANE,0.758905279
Akola,SUGARCANE,0.924169895
Akola,SUGARCANE,0.898244935
Akola,SUGARCANE,0.838511107
Akola,SUGARCANE,0.760613404
Akola,SUGARCANE,0.934484255
Akola,SUGARCANE,0.828470761
Akola,SUGARCANE,0.766683088
Akola,SUGARCANE,0.912043642
Akola,SUGARCANE,0.758987905
Akola,SUGARCANE,0.907281092
Akola,SUGARCANE,0.869215581
Akola,SUGARCANE,0.922659109
Akola,SUGARCANE,0.872190264
Akola,SUGARCANE,0.722437586
Akola,SUGARCANE,0.844260649
Akola,SUGARCANE,0.940316229
Akola,SUGARCANE,0.984407342
Akola,SUGARCANE,0.808179265
Akola,SUGARCANE,0.856991356
Akola,SUGARCANE,0.802374214
Akola,SUGARCANE,0.741200588
Akola,SUGARCANE,0.9819971
Akola,SUGARCANE,0.826591556
Akola,SUGARCANE,0.821471892
Akola,SUGARCANE,0.991397986
Akola,SUGARCANE,0.773418904
Akola,SUGARCANE,0.852751151
Akola,SUGARCANE,0.849732538
Akola,SUGARCANE,0.922588703
Akola,SUGARCANE,0.736291478
Akola,SUGARCANE,0.885457288
Akola,SUGARCANE,0.801202565
Akola,SUGARCANE,0.769725762
Akola,SUGARCANE,0.873282757
Akola,SUGARCANE,0.7140962
Akola,SUGARCANE,0.907064647
Akola,SUGARCANE,0.957245632
Akola,SUGARCANE,0.96069834
Akola,SUGARCANE,0.738475614
Akola,SUGARCANE,0.803650295
Akola,SUGARCANE,0.969589458
Akola,SUGARCANE,0.896947153
Akola,SUGARCANE,0.774223706
Akola,SUGARCANE,0.903337844
Akola,SUGARCANE,0.793556441
Akola,SUGARCANE,0.768007385
Akola,SUGARCANE,0.952528946
Akola,SUGARCANE,0.858564682
Akola,SUGARCANE,0.882860307
Akola,SUGARCANE,0.9389931
Akola,SUGARCANE,0.802130054
Akola,SUGARCANE,0.884196208
Akola,SUGARCANE,0.766794118
Akola,SUGARCANE,0.981438822
Akola,SUGARCANE,0.951637795
Akola,SUGARCANE,0.991804731
Akola,SUGARCANE,0.724294976
Akola,SUGARCANE,0.905356478
Akola,SUGARCANE,0.836592382
Akola,SUGARCANE,0.756476116
Akola,SUGARCANE,0.87703762
Akola,SUGARCANE,0.713087776
Akola,SUGARCANE,0.718950018
Akola,SUGARCANE,0.905238895
Akola,SUGARCANE,0.950706171
Akola,SUGARCANE,0.750000606
Akola,SUGARCANE,0.865399816
Akola,SUGARCANE,0.860269352
Akola,SUGARCANE,0.868836855
Akola,SUGARCANE,0.730967297
Akola,SUGARCANE,0.723174891
Akola,SUGARCANE,0.822984421
Akola,SUGARCANE,0.766865323
Akola,SUGARCANE,0.943740251
Akola,SUGARCANE,0.701367525
Akola,SUGARCANE,0.77225571
Akola,SUGARCANE,0.809536347
Akola,SUGARCANE,0.853233723
Akola,SUGARCANE,0.797096498
Akola,SUGARCANE,0.910488735
Akola,SUGARCANE,0.871958944
Akola,SUGARCANE,0.913793488
Akola,SUGARCANE,0.797056625
Akola,SUGARCANE,0.80039187
Akola,SUGARCANE,0.891019015
Akola,SUGARCANE,0.964146591
Akola,SUGARCANE,0.818354227
Akola,SUGARCANE,0.88026764
Akola,SUGARCANE,0.809546145
Akola,SUGARCANE,0.77900062
Akola,SUGARCANE,0.873899675
Akola,SUGARCANE,0.741216282
Akola,SUGARCANE,0.831163268
Akola,SUGARCANE,0.995409046
Akola,SUGARCANE,0.707514926
Akola,SUGARCANE,0.865374895
Akola,SUGARCANE,0.968870123
Akola,SUGARCANE,0.803072614
Akola,SUGARCANE,0.710697061
Akola,SUGARCANE,0.708602378
Akola,SUGARCANE,0.755604635
Akola,SUGARCANE,0.760259981
Akola,SUGARCANE,0.996537309
Akola,SUGARCANE,0.99952706
Akola,SUGARCANE,0.723924386
Akola,SUGARCANE,0.798239281
Akola,SUGARCANE,0.982767961
Akola,SUGARCANE,0.994087952
Akola,SUGARCANE,0.992270232
Akola,SUGARCANE,0.911677384
Akola,SUGARCANE,0.95415783
Akola,SUGARCANE,0.901632818
Akola,SUGARCANE,0.903992254
Akola,SUGARCANE,0.945579714
Akola,SUGARCANE,0.863792781
Akola,SUGARCANE,0.711496389
Akola,SUGARCANE,0.873572106
Akola,SUGARCANE,0.761765063
Akola,SUGARCANE,0.751910486
Akola,SUGARCANE,0.976868102
Akola,SUGARCANE,0.741556204
Akola,SUGARCANE,0.737980324
Akola,SUGARCANE,0.801273799
Akola,SUGARCANE,0.943311919
Akola,SUGARCANE,0.774571972
Akola,SUGARCANE,0.842660829
Akola,SUGARCANE,0.853600007
Akola,SUGARCANE,0.770389203
Akola,SUGARCANE,0.86437451
Akola,SUGARCANE,0.767101567
Akola,SUGARCANE,0.717527188
Akola,SUGARCANE,0.889622799
Akola,SUGARCANE,0.876059524
Akola,SUGARCANE,0.767530194
Akola,SUGARCANE,0.812998067
Akola,SUGARCANE,0.840775995
Akola,SUGARCANE,0.745846253
Akola,SUGARCANE,0.705146503
Akola,SUGARCANE,0.735025741
Akola,SUGARCANE,0.948693917
Akola,SUGARCANE,0.814794837
Akola,SUGARCANE,0.963291893
Akola,SUGARCANE,0.916121354
Akola,SUGARCANE,0.940652471
Akola,SUGARCANE,0.95281366
Akola,SUGARCANE,0.999391575
Akola,SUGARCANE,0.936598738
Akola,SUGARCANE,0.91137122
Akola,SUGARCANE,0.964722601
Akola,SUGARCANE,0.858324258
Akola,SUGARCANE,0.701280643
Akola,SUGARCANE,0.935460612
Akola,SUGARCANE,0.999514442
Akola,SUGARCANE,0.884857061
Akola,SUGARCANE,0.878130318
Akola,SUGARCANE,0.791401412
Akola,SUGARCANE,0.920540944
Akola,SUGARCANE,0.801969857
Akola,SUGARCANE,0.978867999
Akola,SUGARCANE,0.769921365
Akola,SUGARCANE,0.761191293
Akola,SUGARCANE,0.97417789
Akola,SUGARCANE,0.856949485
Akola,SUGARCANE,0.752803678
Akola,SUGARCANE,0.861316066
Akola,SUGARCANE,0.892555343
Akola,SUGARCANE,0.867051623
Akola,SUGARCANE,0.866541589
Akola,SUGARCANE,0.986637692
Akola,SUGARCANE,0.833154624
Akola,SUGARCANE,0.910695328
Akola,SUGARCANE,0.756477026
Akola,SUGARCANE,0.968493646
Akola,SUGARCANE,0.750283455
Akola,SUGARCANE,0.976584719
Akola,SUGARCANE,0.814457452
Akola,SUGARCANE,0.844487643
Akola,SUGARCANE,0.908069089
Akola,SUGARCANE,0.963466383
Akola,SUGARCANE,0.878063906
Akola,SUGARCANE,0.829495625
Akola,SUGARCANE,0.757719042
Akola,SUGARCANE,0.700168262
Akola,SUGARCANE,0.929629324
